Year,State,Census population
1840,North Carolina,753419
1850,North Carolina,869039
1860,North Carolina,992622
1790,North Dakota,0
1800,North Dakota,0
1810,North Dakota,0
1820,North Dakota,0
1830,North Dakota,0
1840,North Dakota,0
1850,North Dakota,0
1860,North Dakota,0
1790,Northern Mariana Islands,0
1800,Northern Mariana Islands,0
1810,Northern Mariana Islands,0
1820,Northern Mariana Islands,0
1830,Northern Mariana Islands,0
1840,Northern Mariana Islands,0
1850,Northern Mariana Islands,0
1860,Northern Mariana Islands,0
1790,Ohio,0
1800,Ohio,42159
1810,Ohio,230760
1820,Ohio,581434
1830,Ohio,937903
1840,Ohio,1519467
1850,Ohio,1980329
1860,Ohio,2339511
1790,Oklahoma,0
1800,Oklahoma,0
1810,Oklahoma,0
1820,Oklahoma,0
1830,Oklahoma,0
1840,Oklahoma,0
1850,Oklahoma,0
1860,Oklahoma,0
1790,Oregon,0
1800,Oregon,0
1810,Oregon,0
1820,Oregon,0
1830,Oregon,0
1840,Oregon,0
1850,Oregon,12093
1860,Oregon,52465
1790,Pennsylvania,434373
1800,Pennsylvania,602545
1810,Pennsylvania,810091
1820,Pennsylvania,1049458
1830,Pennsylvania,1348233
1840,Pennsylvania,1724033
1850,Pennsylvania,2311786
1860,Pennsylvania,2906215
1790,Puerto Rico,0
1800,Puerto Rico,0
1810,Puerto Rico,0
1820,Puerto Rico,0
1830,Puerto Rico,0
1840,Puerto Rico,0
1850,Puerto Rico,0
1860,Puerto Rico,0
1790,Rhode Island,68825
1800,Rhode Island,69122
1810,Rhode Island,76931
1820,Rhode Island,83059
1830,Rhode Island,97199
1840,Rhode Island,108830
1850,Rhode Island,147545
1860,Rhode Island,174620
1790,South Carolina,249073
1800,South Carolina,345591
1810,South Carolina,415115
1820,South Carolina,502741
1830,South Carolina,581185
1840,South Carolina,594398
1850,South Carolina,668507
1860,South Carolina,703708
1790,South Dakota,0
1800,South Dakota,0
1810,South Dakota,0
1820,South Dakota,0
1830,South Dakota,0
1840,South Dakota,0
1850,South Dakota,0
1860,South Dakota,4837
1790,Tennessee,35691
1800,Tennessee,105602
1810,Tennessee,261727
1820,Tennessee,422813
1830,Tennessee,681904
1840,Tennessee,829210
1850,Tennessee,1002717
1860,Tennessee,1109801
1790,Texas,0
1800,Texas,0
1810,Texas,0
1820,Texas,0
1830,Texas,0
1840,Texas,0
1850,Texas,212592
1860,Texas,604215
1790,United States Virgin Islands,0
1800,United States Virgin Islands,0
1810,United States Virgin Islands,0
1820,United States Virgin Islands,0
1830,United States Virgin Islands,0
1840,United States Virgin Islands,0
1850,United States Virgin Islands,0
1860,United States Virgin Islands,0
1790,Utah,0
1800,Utah,0
1810,Utah,0
1820,Utah,0
1830,Utah,0
1840,Utah,0
1850,Utah,11380
1860,Utah,40273
1790,Vermont,85425
1800,Vermont,154465
1810,Vermont,217713
1820,Vermont,235764
1830,Vermont,280652
1840,Vermont,291948
1850,Vermont,314120
1860,Vermont,315098
1790,Virginia,691937
1800,Virginia,807557
1810,Virginia,877683
1820,Virginia,938261
1830,Virginia,1044054
1840,Virginia,1025227
1850,Virginia,1119348
1860,Virginia,1219630
1790,Washington (state),0
1800,Washington (state),0
1810,Washington (state),0
1820,Washington (state),0
1830,Washington (state),0
1840,Washington (state),0
1850,Washington (state),1201
1860,Washington (state),11594
1790,West Virginia,55873
1800,West Virginia,78592
1810,West Virginia,105469
1820,West Virginia,136808
1830,West Virginia,176924
1840,West Virginia,224537
1850,West Virginia,302313
1860,West Virginia,376688
1790,Wisconsin,0
1800,Wisconsin,0
1810,Wisconsin,0
1820,Wisconsin,1444
1830,Wisconsin,3635
1840,Wisconsin,30945
1850,Wisconsin,305391
1860,Wisconsin,775881
1790,Wyoming,0
1800,Wyoming,0
1810,Wyoming,0
1820,Wyoming,0
1830,Wyoming,0
1840,Wyoming,0
1850,Wyoming,0
1860,Wyoming,0
1790,United States,3929214
1800,United States,5308483
1810,United States,7239881
1820,United States,9638453
1830,United States,12860702
1840,United States,17063353
1850,United States,23191876
1860,United States,31443321
1870,Alabama,996992
1880,Alabama,1262505
1890,Alabama,1513017
1900,Alabama,1828697
1910,Alabama,2138093
1920,Alabama,2348174
1930,Alabama,2646248
1940,Alabama,2832961
1950,Alabama,3061743
1870,Alaska,0
1880,Alaska,0
1890,Alaska,33426
1900,Alaska,32052
1910,Alaska,64356
1920,Alaska,55036
1930,Alaska,59278
1940,Alaska,72524
1950,Alaska,128643
1870,American Samoa,0
1880,American Samoa,0
1890,American Samoa,0
1900,American Samoa,0
1910,American Samoa,0
1920,American Samoa,0
1930,American Samoa,0
1940,American Samoa,12908
1950,American Samoa,24889
1870,Arizona,9658
1880,Arizona,40440
1890,Arizona,88243
1900,Arizona,122931
1910,Arizona,204354
1920,Arizona,334162
1930,Arizona,435573
1940,Arizona,499261
1950,Arizona,749587
1870,Arkansas,484471
1880,Arkansas,802525
1890,Arkansas,1128211
1900,Arkansas,1311564
1910,Arkansas,1574449
1920,Arkansas,1752204
1930,Arkansas,1854482
1940,Arkansas,1949387
1950,Arkansas,1909511
1870,California,560247
1880,California,864694
1890,California,1213398
1900,California,1485053
1910,California,2377549
1920,California,3426861
1930,California,5677251
1940,California,6907387
1950,California,10586223
1870,Colorado,39864
1880,Colorado,194327
1890,Colorado,413249
1900,Colorado,539700
1910,Colorado,799024
1920,Colorado,939629
1930,Colorado,1035791
1940,Colorado,1123296
1950,Colorado,1325089
1870,Connecticut,537454
1880,Connecticut,622700
1890,Connecticut,746258
1900,Connecticut,908420
1910,Connecticut,1114756
1920,Connecticut,1380631
1930,Connecticut,1606903
1940,Connecticut,1709242
1950,Connecticut,2007280
1870,Delaware,125015
1880,Delaware,146608
1890,Delaware,168493
1900,Delaware,184735
1910,Delaware,202322
1920,Delaware,223003
1930,Delaware,238380
1940,Delaware,266505
1950,Delaware,318085
1870,"Washington, D.C.",131700
1880,"Washington, D.C.",177624
1890,"Washington, D.C.",230392
1900,"Washington, D.C.",278718
1910,"Washington, D.C.",331069
1920,"Washington, D.C.",437571
1930,"Washington, D.C.",486869
1940,"Washington, D.C.",663091
1950,"Washington, D.C.",802178
1870,Florida,187748
1880,Florida,269493
1890,Florida,391422
1900,Florida,528542
1910,Florida,752619
1920,Florida,968470
1930,Florida,1468211
1940,Florida,1897414
1950,Florida,2771305
1870,Georgia (U.S. state),1184109
1880,Georgia (U.S. state),1542180
1890,Georgia (U.S. state),1837353
1900,Georgia (U.S. state),2216331
1910,Georgia (U.S. state),2609121
1920,Georgia (U.S. state),2895832
1930,Georgia (U.S. state),2908506
1940,Georgia (U.S. state),3123723
1950,Georgia (U.S. state),3444578
1870,Guam,0
1880,Guam,0
1890,Guam,0
1900,Guam,0
1910,Guam,11806
1920,Guam,13275
