Year,State,Census population
1980,New Mexico,1302894
1990,New Mexico,1515069
2000,New Mexico,1819046
2010,New Mexico,2059179
1960,New York (state),16782304
1970,New York (state),18236967
1980,New York (state),17558072
1990,New York (state),17990455
2000,New York (state),18976457
2010,New York (state),19378102
1960,North Carolina,4556155
1970,North Carolina,5082059
1980,North Carolina,5881766
1990,North Carolina,6628637
2000,North Carolina,8049313
2010,North Carolina,9535483
1960,North Dakota,632446
1970,North Dakota,617761
1980,North Dakota,652717
1990,North Dakota,638800
2000,North Dakota,642200
2010,North Dakota,672591
1960,Northern Mariana Islands,0
1970,Northern Mariana Islands,9460
1980,Northern Mariana Islands,16780
1990,Northern Mariana Islands,43345
2000,Northern Mariana Islands,69221
2010,Northern Mariana Islands,53883
1960,Ohio,9706397
1970,Ohio,10652017
1980,Ohio,10797630
1990,Ohio,10847115
2000,Ohio,11353140
2010,Ohio,11536504
1960,Oklahoma,2328284
1970,Oklahoma,2559229
1980,Oklahoma,3025290
1990,Oklahoma,3145585
2000,Oklahoma,3450654
2010,Oklahoma,3751351
1960,Oregon,1768687
1970,Oregon,2091385
1980,Oregon,2633105
1990,Oregon,2842321
2000,Oregon,3421399
2010,Oregon,3831074
1960,Trust Territory of the Pacific Islands,0
1970,Trust Territory of the Pacific Islands,70270
1980,Trust Territory of the Pacific Islands,104033
1990,Trust Territory of the Pacific Islands,0
2000,Trust Territory of the Pacific Islands,0
2010,Trust Territory of the Pacific Islands,0
1960,Palau,0
1970,Palau,11210
1980,Palau,12116
1990,Palau,15122
2000,Palau,0
2010,Palau,0
1960,Panama Canal Zone,42112
1970,Panama Canal Zone,44198
1980,Panama Canal Zone,0
1990,Panama Canal Zone,0
2000,Panama Canal Zone,0
2010,Panama Canal Zone,0
1960,Pennsylvania,11319366
1970,Pennsylvania,11793909
1980,Pennsylvania,11863895
1990,Pennsylvania,11881643
2000,Pennsylvania,12281054
2010,Pennsylvania,12702379
1960,Puerto Rico,2349544
1970,Puerto Rico,2712033
1980,Puerto Rico,3196520
1990,Puerto Rico,3522037
2000,Puerto Rico,3808610
2010,Puerto Rico,3725789
1960,Rhode Island,859488
1970,Rhode Island,946725
1980,Rhode Island,947154
1990,Rhode Island,1003464
2000,Rhode Island,1048319
2010,Rhode Island,1052567
1960,South Carolina,2382594
1970,South Carolina,2590516
1980,South Carolina,3121820
1990,South Carolina,3486703
2000,South Carolina,4012012
2010,South Carolina,4625364
1960,South Dakota,680514
1970,South Dakota,665507
1980,South Dakota,690768
1990,South Dakota,696004
2000,South Dakota,754844
2010,South Dakota,814180
1960,Tennessee,3567089
1970,Tennessee,3923687
1980,Tennessee,4591120
1990,Tennessee,4877185
2000,Tennessee,5689283
2010,Tennessee,6346105
1960,Texas,9579677
1970,Texas,11196730
1980,Texas,14229191
1990,Texas,16986510
2000,Texas,20851820
2010,Texas,25145561
1960,United States Virgin Islands,32099
1970,United States Virgin Islands,62468
1980,United States Virgin Islands,96569
1990,United States Virgin Islands,101809
2000,United States Virgin Islands,108612
2010,United States Virgin Islands,106405
1960,Utah,890627
1970,Utah,1059273
1980,Utah,1461037
1990,Utah,1722850
2000,Utah,2233169
2010,Utah,2763885
1960,Vermont,389881
1970,Vermont,444330
1980,Vermont,511456
1990,Vermont,562758
2000,Vermont,608827
2010,Vermont,625741
1960,Virginia,3966949
1970,Virginia,4648494
1980,Virginia,5346818
1990,Virginia,6187358
2000,Virginia,7078515
2010,Virginia,8001024
1960,Washington (state),2853214
1970,Washington (state),3409169
1980,Washington (state),4132156
1990,Washington (state),4866692
2000,Washington (state),5894121
2010,Washington (state),6724540
1960,West Virginia,1860421
1970,West Virginia,1744237
1980,West Virginia,1949644
1990,West Virginia,1793477
2000,West Virginia,1808344
2010,West Virginia,1852994
1960,Wisconsin,3951777
1970,Wisconsin,4417731
1980,Wisconsin,4705767
1990,Wisconsin,4891769
2000,Wisconsin,5363675
2010,Wisconsin,5686986
1960,Wyoming,330066
1970,Wyoming,332416
1980,Wyoming,469557
1990,Wyoming,453588
2000,Wyoming,493782
2010,Wyoming,563626
1960,United States,179323175
1970,United States,203211926
1980,United States,226545805
1990,United States,248709873
2000,United States,281421906
2010,United States,308745538
