Year,Electoral college vote count,State,Census year reference,Census population
1992,11,Wisconsin,1990,4891769
1996,11,Wisconsin,1990,4891769
2000,11,Wisconsin,1990,4891769
2004,10,Wisconsin,2000,5363675
2008,10,Wisconsin,2000,5363675
2012,10,Wisconsin,2010,5686986
2016,10,Wisconsin,2010,5686986
2020,10,Wisconsin,2010,5686986
1792,0,Wyoming,1790,0
1796,0,Wyoming,1790,0
1800,0,Wyoming,1790,0
1804,0,Wyoming,1800,0
1808,0,Wyoming,1800,0
1812,0,Wyoming,1810,0
1816,0,Wyoming,1810,0
1820,0,Wyoming,1810,0
1824,0,Wyoming,1820,0
1828,0,Wyoming,1820,0
1832,0,Wyoming,1830,0
1836,0,Wyoming,1830,0
1840,0,Wyoming,1830,0
1844,0,Wyoming,1840,0
1848,0,Wyoming,1840,0
1852,0,Wyoming,1850,0
1856,0,Wyoming,1850,0
1860,0,Wyoming,1850,0
1864,0,Wyoming,1860,0
1868,0,Wyoming,1860,0
1872,0,Wyoming,1870,9118
1876,0,Wyoming,1870,9118
1880,0,Wyoming,1870,9118
1884,0,Wyoming,1880,20789
1888,0,Wyoming,1880,20789
1892,3,Wyoming,1890,60705
1896,3,Wyoming,1890,60705
1900,3,Wyoming,1890,60705
1904,3,Wyoming,1900,92531
1908,3,Wyoming,1900,92531
1912,3,Wyoming,1910,145965
1916,3,Wyoming,1910,145965
1920,3,Wyoming,1910,145965
1924,3,Wyoming,1920,194402
1928,3,Wyoming,1920,194402
1932,3,Wyoming,1930,225565
1936,3,Wyoming,1930,225565
1940,3,Wyoming,1930,225565
1944,3,Wyoming,1940,250742
1948,3,Wyoming,1940,250742
1952,3,Wyoming,1950,290529
1956,3,Wyoming,1950,290529
1960,3,Wyoming,1950,290529
1964,3,Wyoming,1960,330066
1968,3,Wyoming,1960,330066
1972,3,Wyoming,1970,332416
1976,3,Wyoming,1970,332416
1980,3,Wyoming,1970,332416
1984,3,Wyoming,1980,469557
1988,3,Wyoming,1980,469557
1992,3,Wyoming,1990,453588
1996,3,Wyoming,1990,453588
2000,3,Wyoming,1990,453588
2004,3,Wyoming,2000,493782
2008,3,Wyoming,2000,493782
2012,3,Wyoming,2010,563626
2016,3,Wyoming,2010,563626
2020,3,Wyoming,2010,563626
